PuzzleId,FEN,Moves,Rating,Themes
02k1g,6k1/2R4p/6p1/5p2/4nP2/4NK2/r5PP/8 w - - 3 40,g2g4 a2f2,1052,endgame hookMate mate mateIn1 oneMove
02q6M,8/5pk1/1R4p1/8/5KPP/8/1P6/5r2 w - - 1 39,f4g5 f7f6 b6f6 f1f6,1053,crushing endgame master rookEndgame short
03wHw,1k1r1b1r/ppp2ppp/5n2/4p3/4P3/2N1BQ1P/PqP2PP1/R4RK1 b - - 1 14,b2c3 e3a7 b8a7 f3c3,1056,advantage discoveredAttack middlegame short
02RJ2,1rr2k2/2q5/3p1p2/p3b1p1/2BpPp1R/PP1P1P1P/2PQ1K2/6R1 b - - 0 26,g5h4 g1g8 f8e7 g8g7,1058,advantage middlegame short
037fN,r1r3k1/5pp1/p2bp3/3p2RQ/1p6/2Nq3P/PP3P2/K5R1 b - - 1 22,g7g6 g5g6 d3g6 g1g6 f7g6 h5g6,1061,advantage kingsideAttack long middlegame
003YF,r4rk1/1pp2ppp/p2p4/2bPp3/2P1Pn1q/P1N2B2/1P3P2/R1BQK1R1 w Q - 1 15,c1f4 h4f2,1062,attackingF2F7 mate mateIn1 middlegame oneMove
02K3Z,r4rk1/6p1/2p2b1p/2P1pq2/2N2p1n/1Q3P2/6PP/2BRR1K1 b - - 4 28,f5g6 c4e5 g8h8 e5g6,1065,advantage discoveredAttack discoveredCheck kingsideAttack middlegame short
00yPS,5k2/p3pp2/7p/2Qp1P2/6B1/6q1/2K5/8 b - - 2 43,g3g4 c5c8 f8g7 f5f6 g7f6 c8g4,1073,crushing discoveredAttack endgame long queenEndgame
029se,5k2/pp3p1p/1n4p1/5bN1/8/1BP4P/Pr3PP1/4R1K1 b - - 3 23,f7f6 g5h7 f8g7 e1e7,1073,advantage endgame short
02wZy,8/r7/1R5p/3p1ppk/3P4/pNn1PK1P/P5P1/8 b - - 11 47,c3a2 g2g4 f5g4 h3g4 h5h4 b6h6,1073,endgame long mate mateIn3
03cFQ,5r1k/1pR5/p5pp/8/4bP2/1Q4P1/P2q3P/2R4K w - - 1 32,h1g1 d2g2,1073,endgame mate mateIn1 oneMove
03kw5,r3k1r1/pppq1p2/3p1p1p/8/1PBpP3/P2P4/2P2PK1/R2Q1R2 w q - 1 16,g2f3 d7g4,1075,mate mateIn1 middlegame oneMove
001wb,r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17,h2g3 g6h5,1076,mate mateIn1 middlegame oneMove
01I1O,5k2/2p1n1p1/1p1b1N1p/p2BpP2/q7/2P3PP/1P1Q1P2/6K1 b - - 0 29,g7f6 d2h6 f8e8 h6h8,1078,crushing endgame master masterVsMaster short
015jf,2r1r1k1/1p3p1p/p3p1pQ/3b4/7R/1P1P1P2/2P3PP/q3NK1R b - - 4 24,c8c2 h6h7 g8f8 h7h8 a1h8 h4h8 f8g7 h8e8,1079,advantage kingsideAttack middlegame skewer veryLong
03vCU,3rq1k1/5ppp/3b1p2/1p1Q4/3P4/P6P/1PPB1PP1/2KR4 w - - 1 23,d1e1 e8e1 d2e1 d6f4 c1d1 d8d5,1079,advantage discoveredAttack endgame long sacrifice
02iWd,3r1rk1/pp3ppp/2p1qn2/4p3/1P6/2N1P1Q1/P4RPP/5RK1 b - - 1 23,d8d6 f2f6 e6f6 f1f6,1080,advantage middlegame pin short
03s6P,B4rk1/p1p2ppp/2p5/8/4p2q/4Bb2/PPP3Q1/RN4K1 w - - 4 25,g2h2 h4e1,1080,mate mateIn1 middlegame oneMove
00Pc8,rnb2r2/pp4k1/2p3pp/4Np2/2BP4/8/PP4PP/2KRR3 b - - 0 18,b8d7 e5d7 c8d7 e1e7 g7f6 e7d7,1082,advantage clearance fork long middlegame
03X8P,6k1/p4p2/P3p2Q/1p4P1/6q1/1KP5/1P6/8 w - - 0 46,h6f6 g4a4,1088,endgame master mate mateIn1 oneMove queenEndgame
009uB,3br2r/5k1p/4p1pQ/P5P1/1B5P/P6q/5R2/6K1 b - - 1 35,f7g8 f2f8 e8f8 h6f8,1089,mate mateIn2 middlegame short
01OE9,r1b1k2r/ppqn1pb1/2ppB2p/6pn/3P4/1QP1PNB1/PP1N1PPP/R3K2R b KQkq - 0 11,f7e6 b3e6 e8d8 g3d6 c7d6 e6d6,1091,advantage long master middlegame
00tsE,2rq1k2/5ppp/p7/1p6/5Q2/2P5/P1P2PPP/4RK2 b - - 7 22,c8c3 f4b4 f8g8 b4c3,1092,crushing endgame fork short
034vZ,8/6bk/7p/1p1Q4/p1pP1q2/P1P1p3/1P4PP/5NK1 w - - 0 50,f1g3 f4f2 g1h1 f2e1 g3f1 e1f1,1094,endgame long mate mateIn3
00R9D,8/1k6/1pn1R3/8/Pp4p1/4P3/5PK1/8 w - - 0 51,e6e4 b4b3 e4g4 b3b2,1098,advancedPawn crushing endgame short
023oo,r5k1/pp5p/2pN2p1/2P1n3/5Pq1/1P5b/P4RB1/Q5K1 b - - 2 24,a8f8 a1e5 h3g2 f2g2,1099,advantage hangingPiece middlegame short
018Bi,8/3k1r2/p7/1p3p1P/3Q1PPB/P1n4K/1b1p4/3q4 b - - 10 55,d7e8 d4d8,1100,endgame mate mateIn1 oneMove
03rY6,4r1k1/1p3bpp/2pp4/1P1N1P2/2P1n3/4q3/1B4QP/5R1K b - - 1 27,c6d5 g2g7,1100,mate mateIn1 middlegame oneMove
03iY8,4k3/5R2/pp1p2P1/2pP4/P7/5K2/1P6/6r1 w - - 3 54,f7f6 g1f1 f3g4 f1f6,1102,crushing endgame master rookEndgame short skewer
03726,r3q2k/6b1/p5pp/1nQ1Nr2/5P2/2P5/PP4PP/R3R1K1 b - - 0 23,a8c8 e5g6 e8g6 c5c8,1109,advantage deflection kingsideAttack master masterVsMaster middlegame short
01fHH,r4rk1/pp3ppp/2p2q2/3p4/4n3/1P1BQN2/1K3PPP/3R3R w - - 2 18,b2c2 f6c3 c2b1 c3b3,1111,crushing deflection middlegame short
00LG5,6k1/5r1p/4b1pQ/5q2/3B3P/2P5/6P1/4R1K1 w - - 7 36,e1e2 f5f1 g1h2 f1e2,1113,advantage endgame fork short
002HE,1qr2rk1/1p1p1ppp/pB2p1n1/7n/2P1P3/1Q2NP1P/PP2B1Pb/3R1RK1 w - - 1 20,g1f2 b8g3,1116,master mate mateIn1 middlegame oneMove
00c6X,r5rk/pp3p2/5p1p/q2n1N1Q/8/8/P4PPP/R2R2K1 b - - 5 21,d5f4 h5h6,1116,mate mateIn1 middlegame oneMove
001Wz,4r1k1/5ppp/r1p5/p1n1RP2/8/2P2N1P/2P3P1/3R2K1 b - - 0 21,e8e5 d1d8 e5e8 d8e8,1118,backRankMate endgame mate mateIn2 short
00iyx,2kr1b1r/pp3ppp/2p1pq2/6B1/2P3Q1/7P/P4PP1/1R3RK1 b - - 3 19,f6g6 g5d8 g6g4 h3g4,1120,advantage middlegame short
00M0i,r3r2k/p2n1p1R/5n2/qp3Q2/3P4/B3Pp2/P4P1P/1B5K b - - 0 23,h8g8 f5g5,1123,mate mateIn1 middlegame oneMove
02T47,r3k1nr/pp1qppbp/2p3p1/4B3/3P4/2N2Q2/PPP3PP/R3R1K1 b kq - 4 14,g8f6 e5f6 g7f6 f3f6,1123,advantage master middlegame pin short
00xgR,8/2B3k1/4p2p/2P3pQ/3P4/4p3/6PP/4qNK1 w - - 0 34,h5e8 e1f2 g1h1 f2f1,1124,deflection endgame mate mateIn2 short
01GXf,r3k2r/pR2bppp/4p3/3N4/8/8/P4PPP/4R1K1 b kq - 0 20,e7f6 d5c7 e8f8 c7a8,1126,crushing endgame fork short
01OYe,3Q4/p5k1/1p2p1pn/1P1p1p1R/3P1P2/qN2r3/P1r3PP/R5K1 w - - 2 40,d8d7 h6f7 h5h7 g7h7,1133,crushing defensiveMove middlegame short
00X2S,2kr4/1p4pp/p1p1b3/Q3Bq2/8/4PB2/1PP2PPP/1K6 b - - 2 24,g7g5 a5c7,1134,endgame mate mateIn1 oneMove
01BnQ,r1b1kb1r/pp1n1ppp/R3p3/1NppP1B1/3P4/3B1N2/1qP2PPP/3QK2R b Kkq - 0 11,b7a6 b5c7,1135,mate mateIn1 middlegame oneMove
03Rgy,r6k/p4prp/1p2p3/5nN1/3p3P/P4R2/1PP3P1/5RK1 b - - 2 31,f5h4 g5f7 g7f7 f3f7,1135,advantage endgame short
01Pkt,8/p6p/6p1/1P2p3/Pk6/4KP2/6PP/8 w - - 4 34,e3e4 b4a4 e4e5 a4b5 f3f4 a7a5,1136,crushing defensiveMove endgame long pawnEndgame
01Suf,r1bqk1nr/pp3ppp/2nbp3/1Bp5/3pP3/5NN1/PPPP1PPP/R1BQK2R w KQkq - 4 7,d2d3 d8a5 f3d2 a5b5,1138,crushing fork opening short
023UB,2k3r1/ppp2p1p/4nb2/1Q2N3/PP1rPp2/2P5/4K1PP/R7 w - - 1 23,c3d4 e6d4 e2f1 d4b5,1138,advantage endgame fork short
01YAP,8/3b1p2/B3p2p/3pPkp1/3P4/5N1P/1b2KPP1/8 b - - 0 43,h6h5 a6d3 f5f4 g2g3,1140,endgame mate mateIn2 short
01f3b,6k1/8/2P1p1rp/1p1p4/1P1N4/2P2Pn1/1P4P1/1K3n2 b - - 0 35,e6e5 c6c7 e5d4 c7c8q,1140,advancedPawn advantage endgame promotion short
022Dh,5r2/p3p1kp/1p4p1/4rp2/2P5/3P1Q1P/R3K1P1/2q2BNR w - - 7 32,e2f2 c1e1,1141,mate mateIn1 middlegame oneMove
02jr4,8/5p2/2k5/8/p5Pp/P6r/1PPR4/2K5 w - - 0 39,c1d1 h3h1 d1e2 h1h2,1141,crushing endgame rookEndgame short
00s9L,2r1r1k1/5pp1/Rb3q1p/1p2p3/3pP3/1N1P1PP1/3Q1P2/2R3K1 b - - 0 25,f6d8 c1c8 d8c8 a6b6,1142,advantage middlegame short
03CIU,8/6pp/1Q2p1k1/2p5/P3n3/1P2PK1P/5qP1/4N3 w - - 0 35,f3e4 f2f5,1143,endgame mate mateIn1 oneMove
03dhn,5B1k/1p4R1/p5pp/P2pq3/4n3/6PP/7K/5Q2 w - - 1 51,f1f7 e5g3 h2h1 e4f2 f7f2 g3f2,1146,crushing endgame long
02yEq,r1b2rk1/pp3pp1/8/3p2Pp/2nP3P/2PBqPN1/P1Q5/1K1R2R1 w - - 2 24,g3h5 c4a3 b1b2 a3c2,1150,advantage fork middlegame short
02V0C,1rb2k2/p1p1q1pp/1p3p2/7Q/2B5/8/PP4PP/3R2K1 b - - 3 23,h7h6 d1d8 e7d8 h5f7,1151,endgame mate mateIn2 sacrifice short
02Qd3,5rk1/n6p/6p1/pPp1p3/2P1P2q/2N5/5P1P/5QRK w - - 3 26,f1e2 f8f2 g1g2 f2e2,1153,crushing endgame short
00hNb,5k2/pp3ppp/4p3/3p4/1Pn2q2/2P3P1/P3Qn1P/R2R3K w - - 1 30,h1g2 c4e3 e2e3 f4e3,1154,crushing endgame fork short
03D2V,5kr1/p1q2p2/1p2p3/2p5/6Q1/P1P4P/3n1PP1/3RR1K1 w - - 3 26,g4h4 d2f3 g1f1 f3h4,1155,crushing endgame pin short
00q9l,3r1rk1/ppp3pp/3q4/3nR3/5P2/2P2Q2/PP4PP/RNB4K b - - 0 17,d6e5 f4e5 f8f3 g2f3,1160,advantage middlegame short
02z4P,rn3rk1/pb2q1b1/2p1pnQ1/1p4BP/3PN3/4P3/PP3PP1/R3K2R b KQ - 0 18,e7f7 e4f6 f7f6 g5f6,1160,crushing kingsideAttack middlegame short
03ney,2R2rk1/5ppp/3qpn2/n7/3P4/r3PPPP/4N1B1/2Q2RK1 b - - 4 23,a3e3 c8f8 d6f8 c1e3,1162,advantage intermezzo middlegame short
00tZP,r2qk2r/1p3ppp/8/2pPPn2/1pPn2b1/3Q1NP1/PP3PBP/RN3RK1 w kq c6 0 14,d5c6 d4f3 d3f3 g4f3,1164,crushing kingsideAttack middlegame short
02m0s,8/p3kpp1/8/3R1r2/8/4P1Q1/PPr4n/5K1R w - - 8 32,f1g1 f5f1,1164,endgame mate mateIn1 oneMove
03OqO,4Q3/6k1/8/p4Bp1/P2PQ3/4P3/5qK1/4b3 w - - 5 50,g2h3 f2g3,1165,endgame master mate mateIn1 oneMove
02FvD,3R4/5Qkp/4p1p1/4q3/pr4PP/2P5/5P2/K2R4 b - - 0 31,g7f7 d1d7 f7f6 d8f8,1166,endgame epauletteMate mate mateIn2 queenRookEndgame short
02NrU,r4rkR/1pq3p1/2pbp1p1/p3P1N1/8/2P1PQ2/PP4P1/2K5 b - - 1 20,g8h8 f3h3 h8g8 h3h7,1166,endgame mate mateIn2 short
02Asj,1k1r3r/ppp4p/8/4Qp2/8/3P1P2/q1n3PP/1RR4K b - - 0 23,c2d4 e5c7 b8a8 c7b7,1167,mate mateIn2 middlegame queensideAttack short
01NfS,r3k2r/pp2bppp/2pQ4/2Bn4/6P1/3P4/PPP4P/1K2R1Nq b kq - 3 19,a8d8 e1e7 d5e7 d6e7,1168,mate mateIn2 middlegame short
01xK4,r1bqk2r/1pp2pp1/3p1n1p/p1b1p3/2BnP3/P1NPBN1P/1PP2PP1/R2QK2R w KQkq - 2 9,f3d4 e5d4 e3d2 d4c3,1169,advantage fork opening short
00u3h,8/2p2rkp/1p4p1/p2PQ3/2P3P1/1P1q1B1P/P1n3K1/8 b - - 7 41,g7h6 g4g5,1171,endgame mate mateIn1 oneMove
03cXe,r1b2rk1/p4ppp/1p2p3/3p4/7P/3B1Q2/q4PP1/2R1R1K1 b - - 1 19,a2a3 d3h7 g8h7 f3a3,1173,crushing discoveredAttack middlegame short
01EDR,8/8/8/p4R1p/2p1k3/P4R1P/1P2q1P1/7K w - - 4 38,f5a5 e2e1 h1h2 e1a5,1175,endgame
01Yqt,8/2p5/3b2kp/3p2p1/P3p1K1/1P2R2P/1B4P1/8 w - - 2 36,h3h4 h6h5 g4h3 g5g4,1175,endgame mate mateIn2 short
01bkF,8/p1q3k1/6r1/3ppR2/7Q/7P/P5PK/8 w - - 6 54,f5g5 e5e4 h4g3 c7g3,1175,crushing discoveredAttack discoveredCheck endgame master short
00Yqb,8/6k1/4p1pq/1p1pPp2/p2P1n2/2P1QN2/PP3PPP/5K2 w - - 4 39,g2g3 h6h3 f1e1 f4g2 e1d2 g2e3,1177,crushing endgame fork long
00WDP,1r2kb1r/p4ppp/Q1n5/2qpP1Bb/8/5N1P/P2N1PP1/R4RK1 b k - 2 16,b8b6 a6c8 c6d8 c8d8,1180,mate mateIn2 middlegame short
01KDp,r2qk2r/pp1n1ppp/3bp3/1bppN3/4PP2/1P1P4/PBPN2PP/R2QK2R b KQkq - 0 11,f7f6 d1h5 g7g6 e5g6 h7g6 h5h8,1183,crushing long middlegame
03XKq,4r1k1/p6p/1p4p1/5p2/2P5/1BQ5/P2r1qPP/5R1K w - - 10 32,f1f2 e8e1 f2f1 e1f1,1183,endgame mate mateIn2 short
01pet,8/8/2Pk2pp/1b6/1N1K4/7P/6P1/8 b - - 3 42,b5c6 b4c6 d6c6 d4e5,1184,crushing defensiveMove endgame master short
03VQT,6r1/1pp3k1/3p4/p2Pp1pP/2P1n1P1/P7/1P4K1/5R2 b - - 0 36,g8f8 h5h6 g7h6 f1f8,1185,advantage deflection endgame short
03ujz,1k1r3r/ppp3p1/8/8/3Q4/3K2N1/PPP1Nq2/R3R3 w - - 2 35,e1f1 d8d4 e2d4 f2g3,1185,crushing middlegame short
00oSB,8/8/p1p5/1pKp3k/3P2p1/P1Q3P1/1Pq5/8 b - - 21 59,c2c3 b2c3 h5g6 c5c6,1186,crushing endgame short
03Qdr,r6r/1p1kbpp1/6p1/p1pp4/6P1/P2P3P/1PP2PK1/R1B1R3 b - - 3 19,h8h4 e1e7 d7e7 c1g5 e7d7 g5h4,1186,attraction crushing endgame exposedKing fork long sacrifice
03GAb,5rk1/4bp2/p3p2Q/1pp5/3rR3/1P1PR2P/5PPK/2q5 b - - 3 26,d4e4 e3g3 e7g5 g3g5 c1g5 h6g5,1188,crushing endgame long
02gYs,8/R2pr3/p4pk1/1p1BP1p1/4Kp2/P7/1P5P/8 w - - 0 43,a7a6 e7e5 e4f3 e5d5,1189,advantage deflection endgame short
01p5M,1r6/p1p2n2/1pk2Pp1/6r1/8/2N5/PPP4K/3R1R2 w - - 2 24,f1g1 b8h8,1190,endgame mate mateIn1 oneMove
02M26,4R1k1/pp4pp/2p2r2/3p1b1P/5p2/2PB1P2/PP1K4/8 b - - 1 32,f6f8 e8f8 g8f8 d3f5,1193,crushing endgame short
03Bwi,2k4r/p1p3b1/Pp1p4/1P1P1b1p/2B1rBp1/6P1/5P1P/2R2RK1 w - - 1 23,c4d3 e4f4 g3f4 f5d3,1194,advantage discoveredAttack middlegame short
01Xgf,5r1k/p1p3p1/7p/4p1r1/2P1Nq2/1P5Q/P5PP/3R2K1 w - - 6 32,e4g5 f4f2 g1h1 f2f1 d1f1 f8f1,1199,backRankMate endgame long mate mateIn3 sacrifice
01Tfr,1q2r1Qk/4B1bp/6pN/p1pN4/8/8/P1P2PPP/1r1R2K1 b - - 8 25,e8g8 h6f7,1204,mate mateIn1 middlegame oneMove smotheredMate
0240A,3b4/3P1k2/2pB4/1p1b2p1/2pK2B1/2P5/P4P2/8 w - - 2 47,d4e5 d8f6 e5f5 d5e6 f5e4 e6g4,1204,bishopEndgame crushing deflection endgame long skewer
004kB,4rr1k/pQpn2pp/3p1q2/8/8/2P5/PP3PPP/RN3RK1 w - - 1 16,b7c7 f6f2 f1f2 e8e1 f2f1 e1f1,1209,kingsideAttack long mate mateIn3 middlegame sacrifice
00fwM,Qn1qk2r/p4ppp/2p5/2bn4/4pPb1/2N5/PPPP2PP/R1B1KBNR w KQk - 1 9,h2h3 d8h4 g2g3 h4g3,1211,mate mateIn2 opening short
00SgB,b3rrk1/qn2R3/1p3ppp/1P1p4/1Q1PnB2/P3P3/4BPPP/5RK1 b - - 0 28,e8e7 b4e7 f8f7 e7e8 g8g7 f4h6,1212,advantage exposedKing kingsideAttack long middlegame
03F5s,r3r1k1/ppp1Bpp1/6p1/1P6/3P2n1/1QP5/P2N1PPq/R3RK2 w - - 2 23,d2f3 h2h1 f3g1 g4h2 f1e2 e8e7,1214,advantage interference long middlegame
005jJ,r1b1qrk1/pp1n1pbp/2pp1np1/4p3/2PP1B2/2NBPN1P/PP3PP1/R2Q1RK1 w - - 0 10,d4e5 d6e5 f4h2 e5e4,1215,advantage opening short
0109N,r2qkbnr/1p2pppp/p1n5/4N3/2BP2b1/8/PP3PPP/RNBQ1RK1 b kq - 3 8,g4d1 c4f7,1215,attackingF2F7 mate mateIn1 oneMove opening
01yiq,8/2R2ppp/k2r2b1/4P3/2R3Pr/1P6/1KP5/8 b - - 0 42,d6b6 c4a4 a6b5 c2c4,1216,endgame mate mateIn2 short
02fdp,4r2k/p1p3p1/Q6p/8/3q4/3B4/P1P2PPP/3K3R w - - 0 26,h1e1 d4a1 d1d2 a1e1,1218,endgame mate mateIn2 short
00Kyy,8/P7/8/5k2/8/5pr1/5r2/R6K w - - 0 50,a7a8q g3h3 h1g1 f2g2 g1f1 h3h1,1219,endgame exposedKing long master mate mateIn3 queenRookEndgame
01lTa,r4k2/1bp2pp1/1p1b3p/1N1P4/1pP5/P4B1P/4RPP1/6K1 w - - 0 30,a3b4 a8a1 e2e1 a1e1,1223,endgame mate mateIn2 pillsburysMate short
01PKH,3r2k1/1pq1pp1p/1nb3p1/1B6/4P3/p4N1P/PbR2PP1/3Q1RK1 w - - 2 20,d1e2 c6b5 c2c7 b5e2,1229,advantage middlegame short
00Mke,6k1/p4p2/3P4/6pp/P2Q4/5qPP/r4P1K/3R4 w - - 1 42,d6d7 a2f2 d4f2 f3f2 h2h1 f2f3,1230,crushing endgame long
002Z9,4r1k1/1p2R1p1/p2p2Pp/P1pP4/5q2/1R3p2/1P1Q3P/5B1K b - - 0 34,f4d2 e7e8,1231,endgame hangingPiece master mate mateIn1 oneMove
02AeY,8/4k3/4p3/p2pP3/2pPb3/2K1P1RB/PP2r3/4N3 w - - 3 54,g3g1 e2e3 c3d2 e3h3,1237,advantage endgame fork master masterVsMaster short
00hck,8/pp3k1p/3B2p1/2P5/1P6/4n2P/P4qP1/2Q4K w - - 0 33,h1h2 f2g2,1238,endgame mate mateIn1 oneMove
00qX2,1r2r2k/Q1R4p/4q1p1/4Bb2/8/8/PP3PPP/3R2K1 b - - 0 28,e6e5 c7h7 h8g8 a7f7,1244,mate mateIn2 middlegame short triangleMate
01VZi,2r3k1/2r2p2/p5p1/q5Pp/1p3P1P/8/PPPRQ3/1K3R2 w - - 0 32,e2e4 b4b3 a2b3 a5d2,1244,crushing discoveredAttack endgame short
0473c,3r2k1/5ppp/p3p2P/5qP1/1p1P4/1P4Q1/5P2/4R1K1 b - - 0 34,d8d5 g3b8 d5d8 b8d8,1245,endgame mate mateIn2 short
02EGv,8/5r1k/p1qQp1pp/2p5/2P3P1/5nB1/1P3P1P/2R2K2 b - - 12 32,f3h2 g3h2 c6h1 h2g1,1246,advantage endgame hangingPiece master short
03Lh3,8/6pp/6k1/3p4/3Q4/1qn4P/5PP1/3R2K1 w - - 5 32,d1d3 c3e2 g1f1 e2d4 d3b3 d4b3,1246,crushing endgame fork long
00WZO,8/1R2B3/5p2/1k2bP1p/p6r/5K2/8/8 b - - 7 45,b5c4 b7b4 c4d5 b4h4,1247,crushing endgame short skewer
0175u,4r1k1/4qp2/3p3p/3P1np1/8/2Q5/1P3PPP/R2N2K1 w - - 2 30,g1f1 e7e2 f1g1 e2e1 c3e1 e8e1,1248,backRankMate endgame long mate mateIn3
01LGs,4rr2/ppp2q1k/3p2p1/2bP4/4RPP1/1RBQ4/P6P/7K b - - 0 32,e8e4 d3h3 h7g8 h3h8,1248,mate mateIn2 middlegame short
03PJk,3r4/6pk/2p3p1/p7/8/b1pB1R2/2P3PP/7K b - - 0 28,a3e7 f3h3 h7g8 d3c4,1248,advantage endgame master short
00o5f,4r3/2R3pk/1n2p2p/p6N/6PP/8/P7/6K1 b - - 0 40,e8g8 h5f6 h7h8 f6g8,1252,advantage endgame pin short
03Ekd,8/8/4nk2/5p1p/8/5NKP/6P1/8 b - - 11 66,e6g5 f3g5 f6g5 h3h4 g5f6 g3f4,1252,attraction crushing endgame knightEndgame long
02uVT,r1b2rk1/ppq1bpp1/1npp1n1p/8/3PNP2/2PB1Q1N/PP4PP/R1B1R1K1 b - - 5 12,c8g4 e4f6 e7f6 f3g4,1253,crushing kingsideAttack middlegame short
03KEl,8/B2kbp1b/1Q1p1P2/1p6/1p2p1r1/2r5/P1P5/R4RK1 w - - 0 30,g1h1 c3h3,1256,mate mateIn1 middlegame oneMove
04GtP,r4rk1/pp6/4p1pp/3b2p1/7n/3P4/PBN1QP1P/5RK1 w - - 4 25,c2e3 h4f3 g1h1 f3d4 e3d5 d4e2,1256,advantage discoveredAttack discoveredCheck kingsideAttack long middlegame
01GBu,5r1k/3p2bp/p4pp1/qp1br3/4P3/1Q4B1/PP2RPPP/4R1K1 w - - 0 23,e4d5 a5e1 e2e1 e5e1,1260,backRankMate mate mateIn2 middlegame short xRayAttack
030I0,5r2/4r1k1/3p1pbp/1Pp5/2P5/P2PqR1B/4P2p/1R2QK2 w - - 0 32,h3g2 e3g1,1263,mate mateIn1 middlegame oneMove
00eGd,7R/8/p2kp3/2r4p/p4K2/6PP/P7/8 b - - 3 39,d6d5 h8h5 e6e5 h5e5,1264,crushing endgame rookEndgame short
038VQ,5rk1/p4ppp/2p5/2Np3n/P2P3q/2P2P2/1PbQ2PP/4R2K w - - 0 26,d2c2 h4e1,1264,backRankMate endgame hangingPiece mate mateIn1 oneMove
02veN,5rk1/6pp/pqP1R3/3Q4/8/8/P4rPP/R5K1 w - - 1 22,e6e8 f2f7 g1h1 f8e8,1266,crushing discoveredAttack discoveredCheck endgame short
035Df,q5k1/5ppp/b2Nrb2/2p5/2PnP3/1P3N2/6PP/3RQRK1 w - - 1 21,e1g3 d4e2 g1h1 e2g3,1267,advantage fork middlegame short
03GkP,r1b2r1k/1p4pp/p1np4/4p1qR/2B1Pp2/2N5/PPP1QPP1/1K1R4 b - - 1 17,g5g2 h5h7 h8h7 e2h5,1269,attraction kingsideAttack mate mateIn2 middlegame sacrifice short
01ZIb,r3r2k/pp1qbp1R/3p4/2p1p1Q1/4P3/P1NP1PP1/1PP3K1/R7 b - - 0 22,h8h7 a1h1 d7h3 h1h3,1270,mate mateIn2 middlegame short
02eeX,7k/6R1/p6p/1p1p4/1P4Q1/P1r1q3/4p1PP/4Rr1K w - - 4 43,e1f1 e2f1q,1271,advancedPawn endgame mate mateIn1 oneMove promotion
02kdr,1r3rk1/6p1/2q1pp1p/Q7/1pP1P3/1P3P2/6PP/R2R2K1 w - - 2 28,d1d3 b8a8 a5a8 f8a8 a1a8 c6a8,1275,crushing endgame long master
03MPv,2rr2k1/1p3pp1/p3p2p/4q3/4p1Q1/P1P3RP/1P3PP1/4R1K1 b - - 3 28,e5f5 g4g7,1275,endgame kingsideAttack mate mateIn1 oneMove
03Qyl,8/5pk1/p2r2p1/1p6/1P2p1Pp/P1R1P2P/5PK1/8 b - - 0 38,d6d3 c3d3 e4d3 g2f1,1275,advantage defensiveMove endgame rookEndgame short
03pfK,1r3rk1/5ppp/p1bp4/q2Np1b1/4P3/6Q1/PPP2PPP/R5KR b - - 10 18,g5h6 d5e7 g8h8 e7c6 a5a4 c6b8,1278,advantage fork long middlegame
03Kcp,8/5R1P/8/1p4k1/2r5/1K6/8/8 b - - 0 42,c4c8 f7g7 g5h6 g7g8 h6h7 g8c8,1279,crushing endgame long rookEndgame
02Ozh,5r2/p4pk1/4q1p1/3p3Q/1P3P2/3P2RP/6PK/8 w - - 4 33,h2g1 e6e1 g1h2 e1g3 h2g3 g6h5,1280,crushing endgame fork long
00iDv,r1bq1rk1/1p3pp1/p2bp2p/8/4Q3/2PB4/PP3PPP/R1B2RK1 b - - 0 13,b7b5 e4h7,1282,mate mateIn1 middlegame oneMove
026RF,2rq2k1/4r2p/1p4p1/p2PnpQ1/PPPp4/3B3P/5PP1/R4RK1 w - - 1 27,f1e1 e5f3 g2f3 e7e1 a1e1 d8g5,1282,advantage discoveredAttack kingsideAttack long middlegame
02gNv,7k/npp5/p2P1q1p/8/8/1P1QP2p/P1P5/1R5K w - - 0 33,d6d7 f6f3 h1g1 f3g2,1282,endgame mate mateIn2 short
0040n,r7/p2k1pp1/p1p1pn2/3p4/3P4/P3PQp1/1PP2P1q/2K4R w - - 0 20,h1h2 g3h2 f3h3 f6g4,1285,advancedPawn advantage endgame short
00tB9,1k1r3r/1bq1b1p1/p2p4/2nBp1P1/4P3/4BP2/1PPQN3/2KR3R w - - 3 24,d5b7 c5b3 c1b1 b3d2,1289,advantage middlegame pin queensideAttack short
03A3b,3Q4/1R2bk2/4qnp1/pp6/2p2P2/P7/6PP/5RK1 w - - 1 32,d8b6 e6b6 b7b6 e7c5 g1h1 c5b6,1289,attraction crushing endgame fork long
042Fz,r5k1/p2r1p1p/1p4R1/3q1N2/8/8/PQ4PP/5R1K b - - 0 32,f7g6 f5h6,1290,endgame mate mateIn1 oneMove
01eV6,8/8/8/p2k3p/P1p4P/2K2P2/8/8 b - - 0 39,d5c5 f3f4 c5d5 f4f5 d5e5 c3c4 e5f5 c4b5 f5e6 b5a5,1291,crushing endgame master pawnEndgame quietMove veryLong
02nF0,5rk1/pR3ppp/5q2/2p1p3/2P5/2QPPBPb/P4P1P/6K1 w - - 1 23,f3g2 h3g2 g1g2 f6c6 e3e4 c6b7,1291,attraction crushing endgame fork long
02wxl,8/8/8/p1b3k1/Pp6/1Pr2B1P/6P1/2R4K w - - 3 41,c1c3 b4c3 f3e4 g5f4,1297,crushing endgame short
